No,대표코드,품명,품번,경면(전면),임가공처
1,HF1-6,Denver Oak,10101-L209944/10,민자 (소프트엠보),
2,A3-15,Cordoba Pine,14-01016-120,UK,목림
3,A7-710,Laricio Pine Quer,14-01024-001,민자,"목림,승은산업,건창기업,제이제이"
4,A7-709,Laricio Pine Quer,14-01024-108,민자,"목림,승은산업,건창기업,제이제이"
5,B53-399,Laricio Pine Quer,14-01024-108,HS-1,승은산업
6,A7-842,Laricio Pine Quer,14-01024-110,민자,목림
7,A40-817,Laricio Pine Quer,14-01024-110,HM,목림(유사 SM)
8,A3-16,Altai Larch,14-01037-108,UK,목림
9,A24-146,Altai Larch,14-01037-108,QT,"목림,승은산업, 제이제이데코"
10,B59-560,Altai Larch,14-01037-111,LV,건창기업
11,A24-264,Altai Larch,14-01037-111,QT,"목림,승은산업, 제이제이데코"
12,A3-622,Altai Larch,14-01037-117,UK,목림
13,B45-445,Altai Larch,14-01037-117,L,건창기업
14,C8-48,LARIX KOMBI,14-01038-119,FB,
15,A7-708,Kassandra Pine,14-01061-005,민자,"목림,승은산업,건창기업,제이제이"
16,B45-792,Kassandra Pine,14-01061-005,L,
17,A3-504,Grenada Pine,14-01087-100,UK,목림
18,A39-595,Wisla Pine,14-01089-003,TK,목림(유사 J)
19,A3-17,Santorini Pine,14-01090-002,UK,목림
20,A3-72,Lathi Birch ,14-05031-111,UK,목림
21,A39-579,Lathi Birch,14-05031-111,TK,목림(유사 J)
22,A4-652,Lathi Birch,14-05031-111,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
23,A3-18,Imatra Birch,14-05054-105,UK,목림
24,A24-360, Imatra Birch,14-05054-105,QT,"목림,승은산업, 제이제이데코"
25,A25-666,Imatra Birch,14-05054-105,J,건창기업(유사 TK)
26,B45-261,Imatra Birch,14-05054-105,L,건창기업
27,B59-551,Imatra Birch,14-05054-107,LV,건창기업
28,B3-311,Imatra Birch,14-05054-107,UK,
29,A14-117,Sundvall Birch,14-05057-001,WT,목림
30,A39-580,Wendelstein Oak,14-10003-172,TK,목림(유사 J)
31,B45-669,Wendelstein Oak,14-10003-172,L,
32,A3-73,Wendelstein Oak,14-10003-172,UK,목림
33,B11-77,Wendelstein Oak,14-10003-172,PM,"목림, 건창기업"
34,HF1-18,Wendelstein Oak,14-10003-밝은톤,민자 (소프트엠보),메라톤
35,A3-19,Colorado Oak,14-10004-105,UK,목림
36,HF1-16,Canyon Castle Oak,14-10016-중간톤,민자 (소프트엠보),메라톤
37,A3-74,Royal Planked Natural Oak,14-10019-108,UK,목림
38,B45-791,Royal Planked Natural Oak,14-10019-110,L,
39,A3-423,Royal Planked Natural Oak,14-10019-110,UK,목림
40,A25-225,Royal Planked Natural Oak,14-10019-110,J,건창기업(유사 TK)
41,B45-670,Royal Planked Natural Oak,14-10019-120,L,
42,A7-472,Royal Planked Natural Oak,14-10019-120,민자,"목림,승은산업,건창기업,제이제이 데코 등"
43,A3-20,Royal Planked Natural Oak,14-10019-120,UK,목림
44,B59-552,Royal Planked Natural Oak,14-10019-120,LV,건창기업
45,HF1-9,Royal Planked Natural Oak,14-10019-120,민자 (소프트엠보),메라톤
46,B45-192,Royal Planked Natural Oak,14-10019-131,L,건창기업
47,B3-849,Royal Planked Natural Oak,14-10019-131,UK,
48,B45-807,Royal Planked Natural Oak,14-10019-134,L,
49,B3-581,Royal Planked Natural Oak,14-10019-134,UK,
50,C45-66,Niagara Oak,14-10024-390,L,
51,A39-749,Niagara Oak,14-10024-390,TK,목림(유사 J)
52,A3-21,Niagara Oak,14-10024-390,UK,목림
53,A3-22,Niagara Oak,14-10024-392,UK,목림
54,A24-253,Niagara Oak ,14-10024-397,QT,"목림,승은산업, 제이제이데코"
55,C45-65,Niagara Oak,14-10024-397,L,
56,A3-71,Niagara Oak ,14-10024-397,UK,목림
57,A39-581,Niagara Oak,14-10024-397,TK,목림(유사 J)
58,HF2-11,Niagara Oak,14-10024-397,NM,메라톤
59,B43-8,Niagara Oak,14-10024-407,목림246,목림
60,C45-67,Niagara Oak,14-10024-407,L,
61,A24-254,Niagara Oak ,14-10024-407,QT,"목림,승은산업, 제이제이데코"
62,A3-70,Niagara Oak ,14-10024-407,UK,목림
63,HF2-5,Niagara Oak,14-10024-407,NM,메라톤
64,A3-245,Catania Oak,14-10033-001,UK,목림
65,B45-193,Catania Oak,14-10033-001,L,건창기업
66,B39-95,Catania Oak,14-10033-006,TK,목림(유사 J)
67,B3-116,Catania Oak,14-10033-006,UK,목림
68,A3-23,Matterhorn Oak,14-10035-004,UK,목림
69,B45-186,Matterhorn Oak,14-10035-004,L,건창기업
70,B43-9,Matterhorn Oak,14-10035-007,목림246,목림
71,A3-364,Matterhorn Oak,14-10035-007,UK,목림
72,A14-125,Alzey Oak,14-10054-002,WT,목림
73,A3-505,Chamonix Eiche,14-10059-105,UK,목림
74,A3-232,Oak Chamonix,14-10059-165,UK,목림
75,A3-855,Chamonix Oak,14-10059-186,UK,목림
76,A3-24,Valley Oak,14-10075-001,UK,목림
77,A3-116,Valley Oak,14-10075-101,UK,목림
78,A39-576,Real Rovere,14-10082-002,TK,목림(유사 J)
79,A3-179,Real Rovere,14-10082-002,UK,목림
80,A39-577,Real Rovere,14-10082-185,TK,목림(유사 J)
81,A3-728,Real Rovere,14-10082-185,UK,목림
82,B45-671,Real Rovere,14-10082-197,L,
83,B3-527,Real Rovere,14-10082-197,UK,
84,A39-586,Denver Oak,14-10101-120,TK,목림(유사 J)
85,A3-463,Denver Oak,14-10101-126,UK,목림
86,A25-679,Denver Oak,14-10101-126,J,건창기업(유사 TK)
87,A39-583,Denver Oak,14-10101-130,TK,목림(유사 J)
88,C3-71,Denver Oak,14-10101-131,UK,
89,B45-926,Denver Oak,14-10101-131,L,
90,A39-588,Denver Oak,14-10101-131,TK,목림(유사 J)
91,B45-593,Denver Oak,14-10101-132,L,
92,A3-417,Denver Oak,14-10101-132,UK,목림
93,A3-374,Denver Oak,14-10101-133,UK,목림
94,A39-584,Denver Oak,14-10101-133,TK,목림(유사 J)
95,B3-864,Denver Oak,14-10101-135,UK,
96,A39-587,Denver Oak,14-10101-135,TK,목림(유사 J)
97,A39-585,Denver Oak,14-10101-143,TK,목림(유사 J)
98,B3-133,Antique Oak Fhs,14-10110-101,UK,목림
99,A14-118,Antique Oak Fhs,14-10110-101,WT,목림
100,B45-385,Cheyenne Oak,14-10131-102,L,건창기업
101,A3-413,Cheyenne Oak,14-10131-102,UK,목림
102,A39-750,Cheyenne Oak,14-10131-102,TK,목림(유사 J)
103,B11-78,Cheyenne Oak,14-10131-102,PM,"목림, 건창기업"
104,A24-850,Cheyenne Oak,14-10131-103,QT,"목림,승은산업, 제이제이데코"
105,A3-487,Cheyenne Oak,14-10131-103,UK,목림
106,B45-454,Cheyenne Oak,14-10131-103,L,건창기업
107,A3-574,Cheyenne Oak,14-10131-106,UK,목림
108,B59-553,Cheyenne Oak,14-10131-106,LV,건창기업
109,B45-586,Cheyenne Oak ,14-10131-106,L,
110,B54-403,Cheyenne Oak,14-10131-106,ST,승은산업
111,A3-25,Belfort Oak,14-10137-004,UK,목림
112,B54-402,Belfort Oak,14-10137-004,ST,승은산업
113,T45-437,Belfort Oak,14-10137-004,L,건창기업
114,B3-388,Belfort Oak,14-10137-127,UK,
115,A3-26,Belfort Oak,14-10137-135,UK,목림
116,A3-273,Canterbury Oak,14-10144-002,UK,목림 
117,B3-52,Canyon White Wash Oak,14-10153-111,UK,목림
118,A3-614,Canyon Kalk Eiche Astlos,14-10153-112,UK,목림
119,B11-79,Canyon White Wash Oak,14-10153-112,PM,"목림, 건창기업"
120,A3-856,Canyon White Wash Oak,14-10153-113,UK,목림
121,B45-370,Canyon Kalk Eiche Astlos,14-10153-116,L,건창기업
122,B3-371,Canyon Kalk Eiche Astlos,14-10153-116,UK,
123,B25-372,Canyon Kalk Eiche Astlos,14-10153-116,J,건창기업(유사 TK)
124,A25-226,Xigaze Oak excl,14-10158-100,J,건창기업(유사 TK)
125,A3-845,Xigaze Oak excl,14-10158-100,UK,목림
126,HF2-24,Xigaze Oak excl,14-10158-100,NM,메라톤
127,C3-1,Xigaze Oak excl,14-10158-102,UK,
128,C45-2,Xigaze Oak excl,14-10158-102,L,
129,A24-89,Pasadena Oak,14-10167-004,QT,"목림,승은산업, 제이제이데코"
130,A24-145,Rijeka Oak,14-10168-002,QT,"목림,승은산업, 제이제이데코"
131,A3-294,Rijeka Oak,14-10168-002,UK,목림
132,A3-27,Santana Oak,14-10175-003,UK,목림
133,A3-234,Santana Oak,14-10175-004,UK,목림
134,A24-851,Santana Oak,14-10175-004,QT,"목림,승은산업, 제이제이데코"
135,A39-729,Santana Oak,14-10175-111,TK,목림(유사 J)
136,A3-28,Santana Oak,14-10175-111,UK,목림
137,B45-591,Santana Oak,14-10175-111,L,
138,A7-469,Santana Oak,14-10175-111,민자,"목림,승은산업,건창기업,제이제이 데코 등"
139,A3-409,Santana Oak,14-10175-124,UK,목림
140,B11-80,Santana Oak,14-10175-124,PM,"목림, 건창기업"
141,A3-506,Santana Oak,14-10175-131,UK,목림
142,B45-874,Santana Oak,14-10175-131,L,
143,A3-507,Santana Oak,14-10175-133,UK,목림
144,B45-850,Santana Oak,14-10175-175,L,
145,A3-274,Sonoma Oak,14-10183-001,UK,목림
146,A3-508,Sonoma Eiche,14-10183-102,UK,목림
147,B3-528,Sonoma Oak,14-10183-177,UK,
148,A3-509,Sonoma Eiche,14-10183-213,UK,목림
149,A7-467,Chambord Oak,14-10194-001,민자,"목림,승은산업,건창기업,제이제이 데코 등"
150,A3-466,Chambord Oak,14-10194-001,UK ,목림
151,A7-470,Canyon Mandarin Oak,14-10194-002,민자,"목림,승은산업,건창기업,제이제이 데코 등"
152,A3-276,Canyon Mandarin Oak ,14-10194-002,UK,목림
153,A3-233,Canyon Mandarin Oak,14-10194-002,UK,목림
154,A3-465,Canyon Mandarin Oak,14-10194-003,UK,목림
155,A7-468,Canyon Mandarin Oak,14-10194-003,민자,"목림,승은산업,건창기업,제이제이 데코 등"
156,A3-923,Chambord Oak,14-10195-001,UK,목림 
157,A7-471,Riviera Oak,14-10200-001,민자,"목림,승은산업,건창기업,제이제이 데코 등"
158,A3-29,Riviera Oak,14-10200-001,UK,목림
159,A25-682,Riviera Oak,14-10200-002,J,건창기업(유사 TK)
160,B45-790,Riviera Oak,14-10200-002,L,
161,A3-30,Riviera Oak,14-10200-002,UK,목림
162,A7-464,Riviera Oak,14-10200-002,민자,"목림,승은산업,건창기업,제이제이 데코 등"
163,A3-306,Riviera Oak,14-10200-003,UK,목림
164,A3-307,Riviera Oak,14-10200-128,UK,목림
165,A25-683,Riviera Oak,14-10200-128,J,건창기업(유사 TK)
166,A3-501,Ontario Oak,14-10201-102,UK,목림
167,A3-795,Ontario Oak,14-10201-103,UK,목림
168,C45-33,Ontario Oak,14-10201-103,LT,
169,B45-40,Ontario Eiche,14-10201-104,L,건창기업
170,B43-10,Ontario Eiche,14-10201-104,목림246,목림
171,A3-796,Ontario Eiche,14-10201-104,UK,목림
172,B3-64,Somerset Oak,14-10206-101,UK,목림
173,A14-120,Rovere Glamour,14-10218-002,WT,목림
174,B45-794,Kanas Oak,14-10223-114,L,
175,A3-31,Chesterfield Oak,14-10233-001,UK,목림
176,C59-87,Chesterfield Oak,14-10233-001,LV,
177,A24-256,Chesterfield Oak,14-10233-001,QT,"목림,승은산업, 제이제이데코"
178,B25-539,Chesterfield Oak,14-10233-001,J,
179,B45-281,Chesterfield Oak,14-10233-004,L,건창기업
180,B25-282,Chesterfield Oak,14-10233-004,J,건창기업(유사 TK)
181,B59-558,Chesterfield Oak,14-10233-004,LV,건창기업
182,B43-283,Chesterfield Oak,14-10233-004,목림246,목림
183,A24-257,Chesterfield Oak,14-10233-004,QT,"목림,승은산업, 제이제이데코"
184,A3-32,Chesterfield Oak,14-10233-004,UK,목림
185,A4-649,Chesterfield Oak,14-10233-111,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
186,A3-184,Chesterfield Oak,14-10233-111,UK,목림
187,B45-187,Chesterfield Oak,14-10233-111,L,건창기업
188,A3-301,Chesterfield Oak,14-10233-136,UK,목림
189,A3-424,Beaufort Oak,14-10239-001,UK,목림
190,B45-857,Beaufort Oak,14-10239-001,L,
191,A3-742,Creso Oak,14-10244-103,UK,목림
192,B39-1,Creso Oak,14-10244-103,TK,목림(유사 J)
193,B11-81,Creso Oak,14-10244-103,PM,"목림, 건창기업"
194,A3-510,Salinas Eiche,14-10246-100,UK,목림
195,A3-511,Salinas Eiche,14-10246-121,UK,목림
196,B43-11,Salinas Oak,14-10246-136,목림246,목림
197,B45-318,Salinas Oak,14-10246-136,L,건창기업
198,A3-198,Rovere Kendal,14-10263-003,UK,목림
199,A3-512,Riviera Oak,14-10300-108,UK,목림
200,B3-858,Catania Oak,14-10332-132,UK,
201,B45-194,Catania Oak,14-10332-132,L,건창기업
202,A3-187,Belfort Oak,14-10337-102,UK,목림
203,B3-671,Beaufort Oak CN,14-10339-001,UK,
204,HF4-42,Canyon Monument Oak,14-10347-001,BF,
205,A3-513,Canyon Monument Oak,14-10347-001,UK,목림
206,A3-503,Canyon Monument Oak CN,14-10347-103,UK,목림
